topic_id,top_terms,top_terms_list,topic_diversity,topic_sparsity
0,"software, development, code, recommender, management, smart, support, security, case, solution, automation, make, evaluation, privacy, end",software; development; code; recommender; management; smart; support; security; case; solution; automation; make; evaluation; privacy; end,0.8821428571428571,0.75
1,"mental, health, mental health, intervention, depression, anxiety, support, app, health support, therapy, health mental, disorder, self, well, adult",mental; health; mental health; intervention; depression; anxiety; support; app; health support; therapy; health mental; disorder; self; well; adult,0.8821428571428571,0.75
2,"customer, marketing, satisfaction, customer satisfaction, banking, business, sale, customer customer, customer support, industry, personalization, loyalty, sector, brand, chapter",customer; marketing; satisfaction; customer satisfaction; banking; business; sale; customer customer; customer support; industry; personalization; loyalty; sector; brand; chapter,0.8821428571428571,0.75
3,"student, education, educational, university, academic, course, teaching, teach, teacher, skill, support, school, university student, thinking, educator",student; education; educational; university; academic; course; teaching; teach; teacher; skill; support; school; university student; thinking; educator,0.8821428571428571,0.75
4,"retrieval, search, query, knowledge, answer, question, rag, question answer, engine, search engine, graph, knowledge graph, response, document, domain",retrieval; search; query; knowledge; answer; question; rag; question answer; engine; search engine; graph; knowledge graph; response; document; domain,0.8821428571428571,0.75
5,"robot, social robot, robotic, humanoid, robot robot, humanoid robot, social, intelligent robot, intelligent, man, hri, multimodal, command, remote, collaborative robot",robot; social robot; robotic; humanoid; robot robot; humanoid robot; social; intelligent robot; intelligent; man; hri; multimodal; command; remote; collaborative robot,0.8821428571428571,0.75
6,"reality, vr, immersive, environment, cultural, 3d, museum, interactive, mixed reality, game, heritage, metaverse, avatar, mixed, augmented",reality; vr; immersive; environment; cultural; 3d; museum; interactive; mixed reality; game; heritage; metaverse; avatar; mixed; augmented,0.8821428571428571,0.75
7,"agent, personality, intelligent agent, agent agent, intelligent, cas, vehicle, autonomous, autonomous agent, style, behavior, cognitive, embody, agent intelligent, agentic",agent; personality; intelligent agent; agent agent; intelligent; cas; vehicle; autonomous; autonomous agent; style; behavior; cognitive; embody; agent intelligent; agentic,0.8821428571428571,0.75
8,"social, medium, social medium, trust, intention, perceive, perception, theory, social presence, marketing, presence, acceptance, consumer, personality, behavior",social; medium; social medium; trust; intention; perceive; perception; theory; social presence; marketing; presence; acceptance; consumer; personality; behavior,0.8821428571428571,0.75
9,"library, academic, academic library, management, librarian, resource, literature, university library, smart library, ethical, systematic, knowledge, science, book, university",library; academic; academic library; management; librarian; resource; literature; university library; smart library; ethical; systematic; knowledge; science; book; university,0.8821428571428571,0.75
10,"health, patient, healthcare, care, medical, health care, clinical, disease, diagnosis, management, hospital, cancer, symptom, doctor, communication",health; patient; healthcare; care; medical; health care; clinical; disease; diagnosis; management; hospital; cancer; symptom; doctor; communication,0.8821428571428571,0.75
11,"emotion, emotional, recognition, sentiment, emotion recognition, detection, response, expression, facial, multimodal, emotion detection, empathy, state, empathetic, affective",emotion; emotional; recognition; sentiment; emotion recognition; detection; response; expression; facial; multimodal; emotion detection; empathy; state; empathetic; affective,0.8821428571428571,0.75
12,"commerce, product, consumer, shopping, electronic, electronic commerce, intention, commerce commerce, purchase, marketplace, search, relevance, sale, business, customer commerce",commerce; product; consumer; shopping; electronic; electronic commerce; intention; commerce commerce; purchase; marketplace; search; relevance; sale; business; customer commerce,0.8821428571428571,0.75
13,"usability, evaluation, testing, usability testing, scale, app, usability evaluation, evaluate, score, test, heuristic, questionnaire, usability scale, satisfaction, metric",usability; evaluation; testing; usability testing; scale; app; usability evaluation; evaluate; score; test; heuristic; questionnaire; usability scale; satisfaction; metric,0.8821428571428571,0.75
