topic_id,topic_weight,Year,DOI,Title
6,0.14261151938059088,2026,10.1007/978-3-031-97769-5_11,A Conversational Agent for Cultural and Environmental Education: Enhancing User Experience and Immersion in Augmented Reality
11,0.1057318967239833,2026,10.1016/j.chb.2026.108984,AI or human? Exploring the effects of user awareness in conversational dynamics with virtual avatars
6,0.17228125813986747,2026,10.1109/AIxVR67263.2026.00032,GAVIA-X: Interactive Diffusion Inpainting for Generative AI-Driven VR/XR Content
8,0.07345306344660431,2026,10.1002/poi3.70032,Where Risk Travels: A Dual-Path Model of Media and Governance in the Perception of AI Hallucination
0,0.025665702197107954,2026,10.1007/978-3-031-99466-1_11,AI-Driven Content Filtering and Access Management Systems: Enhancing Online Safety and Digital Resource Accessibility
0,0.05032795156290523,2026,10.1016/j.techsoc.2025.103121,"Human-centered AI: advancing ethical, transparent, and context-aware systems for sustainable development"
0,0.03654383519260751,2026,10.1007/s42979-025-04643-5,RecCLIP: A Multimodal User-Oriented Recommender System for Generated Content
0,0.024077361572136028,2026,10.1007/s00354-025-00307-3,PLATO-JDS: Enhancing Japanese Dialogue Systems Through Topic-Switch Adaptation
3,0.18025113322159297,2026,10.1177/0258042X261432794,"Adoption of Artificial Intelligence: Influence of User Experience, Perceived Versatility and Educational Impact on Overall Satisfaction and Future Intentions"
9,0.06331725009764688,2026,10.1080/19386389.2025.2584900,"Metadata Augmentation Using NLP, Machine Learning and AI-Chatbots: A Comparison"
11,0.09418364919211783,2026,10.1007/978-3-031-97613-1_6,The Etiquette Effect: Does Courtesy and Motivation Play a Role in Artificial Intelligence Responses
10,0.05157887679597838,2026,10.1145/3772363.3798990,Telehealth Consent Assistant: Prototype and UX Insights
0,0.028617196640417494,2026,10.1063/5.0298625,Improving chatbot efficiency for sentiment analysis using NLP
13,0.19263899166936954,2026,10.1007/978-3-031-98197-5_42,An Inquiry on the Usability of Generative AI in Design Education
0,0.03718118259914201,2026,10.1007/s11280-025-01397-1,STLLM-Rec: enhancing explainable recommendation via self-training LLMs
6,0.11320736201771579,2026,10.29121/shodhkosh.v7.i1s.2026.7106,AI-ENHANCED CULTURAL HERITAGE LEARNING PLATFORMS
6,0.09441089743524145,2026,10.1609/aaai.v40i46.41263,Navigation and Interaction for Blind Users via a Cognitive Architecture
9,0.19837978012662358,2026,10.1016/j.acalib.2025.103195,"AI-driven personalization in library and information services: A systematic review of techniques, user outcomes, and ethical considerations"
6,0.2291340993824208,2026,10.1080/10447318.2025.2504188,PerVRML: ChatGPT-Driven Personalized VR Environments for Machine Learning Education
11,0.2578588793811052,2026,10.1007/978-981-96-8987-3_31,Computational Linguistics in Human-Computer Interaction
3,0.06007920678231892,2026,10.2197/ipsjjip.34.230,LLMs in EduGame: A Web-based Interactive English Learning Game
1,0.07248802965976617,2026,10.2196/90644,User Experience and Early Clinical Outcomes of a Mental Wellness Chatbot for Depression and Anxiety: Pilot Evaluation Mixed Methods Study
0,0.024997536927451092,2026,10.1109/TBME.2026.3693965,EMBC Special Issue: ChatBCI-Assist: An Intent-Based P300 Speller with A Locally-Deployed LLM and Adaptive Stopping Strategy Enabling Record Online Spelling Performance
3,0.04794386325651968,2026,10.1145/3772363.3798980,CyberFrame: AI-Supported Hybrid Comics for Cybersecurity Awareness
6,0.025673961206128516,2026,10.1016/j.ijhcs.2025.103673,SnapSound: Empowering everyone to customize sound experience with Generative AI
11,0.12035459998557557,2026,,"4th International Conference on Advances in Information and Communication Technology, ICTA 2025"
0,0.0281991460735408,2026,10.1145/3772318.3791461,How Tech Workers Contend with Hazards of Humanlikeness in Generative AI
10,0.06052376266547258,2026,10.1002/pbc.32094,"Trust, Transparency, and Acceptability of Artificial Intelligence-Powered Communication Tools in Cancer: Focus Groups With Parents, Adolescents, and Young Adults"
8,0.07297738635118485,2026,10.1145/3772318.3791334,"Navigating Neurodivergence with AI Chatbots: Benefits, Tensions, and Implications for HCI"
3,0.07727071341680959,2026,10.1080/10447318.2025.2532712,"Talking Tech in Education: A Systematic Review of Chatbot Evaluation, Methods, Communication Modalities, and Impact"
8,0.1861434869248162,2026,10.1007/s41666-026-00235-x,Towards Social Good: How Can Social Media Inform the Next GenAI’s Collaboration With Humans for Dietary Support?
12,0.042974637244268504,2026,10.1038/s41598-026-37401-5,AI driven system for enhancing consumer electronics through maintenance personalization and security
5,0.13639281727186378,2026,10.1007/978-981-95-3156-1_25,Exploring Generative and Conversational AI in Traveller Information Systems for Enhanced User Engagement
6,0.17731296369657326,2026,10.1145/3772318.3790491,GestuProp: 3D Virtual Reality Prop Generation with Co-Speech Gestures
1,0.04705698068552687,2026,10.1002/eat.70008,User-Centered Development of a Chatbot for Diverse Adolescents at High Risk for Eating Disorders
8,0.08419078213135503,2026,10.3837/tiis.2026.02.009,Effects of Visual Interface Elements within Generative AI Multimodal Systems on User Experience and Satisfaction
10,0.09206347567660848,2026,10.1007/s10916-026-02406-0,Use of Generative Artificial Intelligence in the Management of Low Back Pain: a Scoping Review
11,0.045781344050046816,2026,10.1145/3772318.3793527,Branching Foresight - A Novel Interaction Concept for AI-generated Scenario Exploration
0,0.028658580365967357,2026,10.1145/3772318.3791680,"ClearFairy: Capturing Creative Workflows through Decision Structuring, In-Situ Questioning, and Rationale Inference"
3,0.1024811798875323,2026,10.1145/3770761.3777143,Context Matters: Leveraging GenAI for Engaging Computing Education
